SiteID,AltNum,Description
988,[G 2088],Alternate Reisner No (Fisher Cemetery)
989,[G 2090],Alternate Reisner No (Fisher Cemetery)
990,[G 2091],Alternate Reisner No (Fisher Cemetery)
991,[G 2092],Alternate Reisner No (Fisher Cemetery)
992,[G 2093],Alternate Reisner No (Fisher Cemetery)
993,[G 2094],Alternate Reisner No (Fisher Cemetery)
994,[G 2095],Alternate Reisner No (Fisher Cemetery)
995,[G 2096],Alternate Reisner No (Fisher Cemetery)
996,[G 2097],Alternate Reisner No (Fisher Cemetery)
997,[G 2098],Alternate Reisner No (Fisher Cemetery)
997,G 3098b,Alternate Reisner No
997,G 3098a,Alternate Reisner No
998,[G 2099],Alternate Reisner No (Fisher Cemetery)
999,D 60,Other No
1002,IV 1,Alternate Reisner No
1002,G 4140-Annex,Alternate Reisner No
1002,G 4141,Alternate Reisner No
1004,Is,Junker No
1005,In,Junker No
1007,IV 2,Alternate Reisner No
1009,IIs,Junker No
1010,IIn,Junker No
1021,IV 3,Alternate Reisner No
1023,IIIs,Junker No
1024,Imsetka,Junker No
1025,IIIn,Junker No
1028,LG 51,Lepsius No
1028,Lepsius 51,Lepsius No
1028,L.51,Lepsius No
1034,G 4314,Alternate Reisner No
1046,Mehi,Junker No
1047,IVs,Junker No
1048,S 2172/2174,Junker No
1050,IVn,Junker No
1051,Kapuptah,Junker No
1076,Vs,Junker No
1078,S 2050/2061,Junker No
1079,Vn,Junker No
1082,LG 50,Lepsius No
1082,Lepsius 50,Lepsius No
1082,L.50,Lepsius No
1096,G 4633,Correct Double Mastaba No
1096,G 4634,Correct Double Mastaba No
1103,Ity,Junker No
1104,VIs,Junker No
1105,Kai,Junker No
1106,VIn,Junker No
1107,LG 49,Lepsius No
1107,Lepsius 49,Lepsius No
1107,L.49,Lepsius No
1109,G 4712a,Alternate Reisner No
1112,Lepsius 48,Lepsius No
1112,L.48,Lepsius No
1112,LG 48,Lepsius No
1127,Niankhnemti Ny,Junker No
1128,VIIs,Junker No
1131,VIIn,Junker No
1132,Nefer [I],Junker No
1132,G 4861,Alternate Reisner No
1133,S 2076/2143,Junker No
1135,S 2082/2087,Junker No
1137,G 4814,Alternate Reisner No
1137,G 4811,Correct Double Mastaba No
1137,G 4812,Correct Double Mastaba No
1137,G 4810,Alternate Reisner No
1151,VIIIss,Junker No
1152,VIIIs,Junker No
1155,VIIIn,Junker No
1158,LG 47,Lepsius No
1158,Lepsius 47,Lepsius No
1158,L.47,Lepsius No
1161,L.45,Lepsius No
1161,Lepsius 45,Lepsius No
1161,LG 45,Lepsius No
1162,Ptahiwfnj,Junker No
1169,LG 34,Lepsius No
1169,Lepsius 34,Lepsius No
1169,L.34,Lepsius No
1170,Lepsius 32,Lepsius No
1170,L.32,Lepsius No
1170,LG 32,Lepsius No
1171,G 2340,Alternate Reisner No
1171,LG 29,Lepsius No
1171,Lepsius 29,Lepsius No
1171,L.29,Lepsius No
1175,G 7530,Correct Double Mastaba No
1175,G 7540,Correct Double Mastaba No
1175,G 7530-7540: G 7530,Alternate Reisner No
1175,G 7530-7540: G 7540,Alternate Reisner No
1175,G 7530sub,NULL
1176,L.58,Lepsius No
1176,Lepsius 58,Lepsius No
1176,LG 58,Lepsius No
1206,G 7169a,Alternate Reisner No
1213,G 7210,Correct Double Mastaba No
1213,G 7220,Correct Double Mastaba No
1213,G 7210-7220: G 7210,Alternate Reisner No
1213,G 7210-7220: G 7220,Alternate Reisner No
1217,G 7230-7240: G 7230,Alternate Reisner No
1217,G 7230-7240: G 7240,Alternate Reisner No
1217,G 7230,Correct Double Mastaba No
1217,G 7240,Correct Double Mastaba No
1222,S 2100/2101,Junker No
1222,G 4851,Alternate Reisner No
1226,S 46,Junker No
1230,S 388/390,Junker No
1231,141,Abou-Ghazi No (ASAE 58 [1964])
1231,Khw-n-ptah,Hassan No.
1231,Khuienptah,Hassan No.
1232,Khuta,Hassan No.
1232,Khwta,Hassan No.
1232,55,Abou-Ghazi No (ASAE 58 [1964])
1237,49,Abou-Ghazi No (ASAE 58 [1964])
1237,Medw-nefer,Hassan No.
1237,Medunefer (2),Hassan No.
1239,Memi,Hassan No.
1239,133,Abou-Ghazi No (ASAE 58 [1964])
1243,48,Abou-Ghazi No (ASAE 58 [1964])
1243,Mer-'ankh-f,Hassan No.
1243,Merankhef,Hassan No.
1244,Mersuankh,Hassan No.
1244,Mersu-'ankh,Hassan No.
1244,9,Abou-Ghazi No (ASAE 58 [1964])
1244,S 145 (Hassan),Other No
1245,Meruka (2),Other No
1246,Merouka,Hassan No.
1246,Meruka,Hassan No.
1246,Meruka (1),Hassan No.
1246,8,Abou-Ghazi No (ASAE 58 [1964])
1247,82,Abou-Ghazi No (ASAE 58 [1964])
1247,Mes-sa,Hassan No.
1250,G 4851,Reisner No
1251,Nary,Hassan No.
1251,83,Abou-Ghazi No (ASAE 58 [1964])
1256,84,Abou-Ghazi No (ASAE 58 [1964])
1256,Ny-Ptah-nefer-her Fefi,Hassan No.
1256,Neferherenptah Fefi,Hassan No.
1257,Neferhetep (1),Hassan No.
1257,Nefer-hetep,Hassan No.
1257,158,Abou-Ghazi No (ASAE 58 [1964])
1258,135,Abou-Ghazi No (ASAE 58 [1964])
1258,Nefer-hetep,Hassan No.
1258,Neferhetep (2),Hassan No.
1261,Nefernemtut,Hassan No.
1261,Nefer-nemtet,Hassan No.
1261,86,Abou-Ghazi No (ASAE 58 [1964])
1263,23,Abou-Ghazi No (ASAE 58 [1964])
1263,Nefert-niswt,Hassan No.
1263,Nefretnisut,Hassan No.
1264,Neferkhuu & Kaaper,Hassan No.
1264,Ka-'aper & Nefer-Khewew,Hassan No.
1264,114,Abou-Ghazi No (ASAE 58 [1964])
1265,10,Abou-Ghazi No (ASAE 58 [1964])
1265,Nefer-went,Hassan No.
1265,Neferwent,Hassan No.
1265,Wentou-nefer,Hassan No.
1266,Nekhetka,Hassan No.
