ID,MediaMasterID,ClassificationID
482,910,1
483,364,1
484,6120,1
485,379,1
486,472,1
487,5814,1
488,5687,1
490,744,1
491,393,1
492,6108,1
493,455,1
494,2462,1
495,1545,1
496,1692,1
497,4964,1
498,711,1
499,6169,1
500,484,1
501,5594,1
502,370,1
503,688,1
504,5630,1
505,4921,1
506,5608,1
507,5729,1
508,6197,1
509,449,1
510,4838,1
511,6195,1
512,4752,1
513,4414,1
514,4714,1
515,338,1
516,5787,1
517,4387,1
518,5554,1
519,5699,1
520,222,1
521,5723,1
522,2736,1
523,454,1
524,5682,1
525,356,1
526,5785,1
527,489,1
528,5542,1
529,392,1
530,5005,1
531,4417,1
532,5756,1
533,6174,1
534,5621,1
535,709,1
536,4421,1
537,572,1
538,433,1
539,6161,1
540,462,1
541,6065,1
542,646,1
543,6142,1
544,343,1
545,537,1
546,380,1
547,5790,1
548,5808,1
549,4411,1
550,385,1
551,1467,1
552,2499,1
553,1525,1
554,1628,1
555,5573,1
556,2844,1
557,4905,1
558,4139,1
559,324,1
560,4245,1
561,1879,1
562,4643,1
563,4674,1
564,136,1
565,4305,1
566,4644,1
567,4673,1
568,5898,1
569,5833,1
570,4629,1
571,4283,1
572,1031,1
573,4450,1
574,4595,1
575,4293,1
576,4261,1
577,4645,1
578,4560,1
579,4533,1
581,6038,1
582,117,1
583,250,1
584,2041,1
585,2204,1
586,256,1
587,6016,1
588,4369,1
589,1179,1
590,1349,1
591,204,1
592,5646,1
593,5830,1
594,198,1
595,3070,1
596,5954,1
597,5798,1
598,223,1
599,5455,1
600,230,1
601,4367,1
602,170,1
603,3066,1
604,3056,1
605,177,1
606,5320,1
607,4513,1
608,4503,1
609,267,1
610,4522,1
611,5336,1
612,5460,1
613,4236,1
614,5198,1
615,5973,1
616,2097,1
617,5994,1
618,137,1
619,2037,1
620,2207,1
621,3063,1
622,5465,1
623,5494,1
624,5887,1
625,1947,1
626,6011,1
627,1183,1
628,4963,1
629,401,1
630,2567,1
631,4922,1
632,4394,1
633,6135,1
634,6093,1
635,4830,1
636,4747,1
637,2496,1
638,5760,1
639,5684,1
640,6131,1
641,2630,1
642,5803,1
643,2375,1
645,210,1
646,4449,1
647,710,1
648,5848,1
649,6172,1
650,4859,1
651,6151,1
652,4930,1
653,6100,1
654,1433,1
655,5744,1
656,1395,1
657,4434,1
658,4907,1
659,475,1
660,4723,1
661,6097,1
662,624,1
663,4753,1
664,4868,1
665,470,1
666,5686,1
667,4413,1
668,4778,1
669,2266,1
670,2489,1
671,4751,1
672,5742,1
673,4834,1
674,5612,1
675,4957,1
676,845,1
677,6176,1
678,2653,1
679,2845,1
680,5616,1
681,5720,1
682,5775,1
683,5622,1
684,413,1
685,6129,1
686,6057,1
687,4924,1
688,4932,1
689,4439,1
690,660,1
691,398,1
692,4927,1
693,4409,1
694,5606,1
695,474,1
696,4455,1
697,664,1
698,6054,1
699,1541,1
700,4972,1
701,5082,1
702,5705,1
703,617,1
704,2497,1
705,6196,1
706,428,1
707,5664,1
708,625,1
709,6102,1
710,5672,1
711,4386,1
712,5694,1
713,5533,1
714,6162,1
715,516,1
716,832,1
717,708,1
718,4936,1
719,2595,1
720,209,1
721,2288,1
722,6053,1
723,5054,1
724,5618,1
725,1635,1
726,355,1
727,5633,1
728,1497,1
729,4941,1
730,5061,1
731,384,1
732,626,1
733,1474,1
734,490,1
735,6042,1
736,1396,1
737,1732,1
738,5073,1
739,5777,1
740,476,1
741,2510,1
742,389,1
743,1589,1
744,415,1
745,6059,1
746,1548,1
747,1709,1
748,400,1
749,4934,1
750,5771,1
751,351,1
752,712,1
753,2447,1
754,6188,1
755,4981,1
756,4982,1
757,5443,1
758,5120,1
759,1394,1
760,373,1
761,5804,1
762,221,1
763,485,1
764,5154,1
765,2537,1
766,1667,1
767,6104,1
768,443,1
769,4701,1
770,667,1
771,367,1
772,4479,1
773,5540,1
774,2694,1
775,5663,1
776,5604,1
777,1425,1
778,1378,1
779,5620,1
780,6177,1
781,4777,1
782,2265,1
783,1549,1
784,1698,1
785,643,1
786,1385,1
787,6150,1
788,816,1
789,390,1
790,368,1
791,6139,1
792,4444,1
793,4928,1
794,1660,1
795,4419,1
796,5712,1
797,418,1
798,2450,1
799,592,1
800,4726,1
801,655,1
802,2518,1
803,479,1
804,1621,1
805,6191,1
806,427,1
807,1693,1
808,4407,1
809,337,1
810,5722,1
811,2819,1
812,478,1
813,342,1
814,5075,1
815,419,1
816,386,1
817,5666,1
818,5607,1
819,591,1
820,4853,1
821,4887,1
822,4757,1
823,4953,1
824,5730,1
825,483,1
826,4767,1
827,4876,1
828,5683,1
829,6044,1
830,654,1
831,4464,1
832,458,1
833,5715,1
834,212,1
835,5696,1
836,6041,1
837,5774,1
838,116,1
839,1970,1
840,5344,1
841,246,1
842,5333,1
843,271,1
844,317,1
845,5469,1
846,4313,1
847,4311,1
848,4519,1
849,4654,1
850,4692,1
851,5449,1
852,976,1
853,1209,1
854,284,1
855,4452,1
856,5974,1
857,4542,1
858,4603,1
859,4264,1
860,5866,1
861,1026,1
862,123,1
863,4201,1
864,4517,1
865,4321,1
866,4699,1
867,5925,1
868,4349,1
869,4497,1
870,5879,1
871,3064,1
872,4585,1
873,4309,1
874,4220,1
875,4547,1
876,5471,1
877,493,1
878,4198,1
879,5842,1
880,5474,1
881,4232,1
882,5816,1
883,155,1
884,5979,1
885,4487,1
886,4384,1
887,4364,1
888,4333,1
889,202,1
890,1355,1
891,5499,1
892,1091,1
893,1354,1
894,4656,1
895,168,1
896,4658,1
897,4174,1
898,5454,1
899,5330,1
900,197,1
901,2178,1
902,4325,1
903,4647,1
904,3058,1
905,6023,1
906,4233,1
907,1754,1
908,6049,1
909,4831,1
910,6101,1
911,4748,1
912,6134,1
913,5743,1
914,5113,1
915,653,1
916,1411,1
917,6105,1
918,5754,1
919,4962,1
920,5564,1
921,369,1
922,1476,1
923,5770,1
924,4942,1
925,606,1
926,5667,1
927,4736,1
929,4829,1
930,4820,1
931,1487,1
932,6106,1
933,6141,1
934,6202,1
935,5753,1
936,4940,1
937,5067,1
938,4799,1
939,2267,1
940,2855,1
941,388,1
942,416,1
943,6168,1
944,465,1
945,6163,1
946,424,1
947,2695,1
948,4460,1
949,2461,1
950,4722,1
951,208,1
952,6071,1
953,2412,1
954,6205,1
955,333,1
956,6040,1
957,2530,1
958,5748,1
959,5541,1
960,4711,1
961,6056,1
