SiteID,EventType,DateText
3066,Reisner Date,Ptolemaic
3067,Reisner Date,Ptolemaic
3073,Reisner Date,Ptolemaic
3074,Reisner Date,Ptolemaic
3075,Reisner Date,Ptolemaic
3076,Reisner Date,Ptolemaic
3077,Reisner Date,Ptolemaic
3078,Reisner Date,Ptolemaic
3079,Reisner Date,Ptolemaic
3080,Reisner Date,Ptolemaic
3081,Reisner Date,Ptolemaic
3082,Reisner Date,Ptolemaic
3118,Reisner Date,Ptolemaic
3119,Reisner Date,Ptolemaic
3148,(not entered),NULL
3160,Reisner Date,Ptolemaic
3161,Reisner Date,Ptolemaic
3162,Reisner Date,Ptolemaic
3163,Reisner Date,Ptolemaic
3164,Reisner Date,Ptolemaic
3165,Reisner Date,Ptolemaic
3166,Reisner Date,Ptolemaic
3167,Reisner Date,Ptolemaic
3183,Reisner Date,Ptolemaic
3184,Reisner Date,Ptolemaic
3189,Reisner Date,Ptolemaic
3199,Reisner Date,Roman
3200,Reisner Date,Roman
3201,Reisner Date,Roman
3202,Reisner Date,Roman
3203,Reisner Date,Roman
3204,Reisner Date,Roman
3206,Reisner Date,Ptolemaic
3207,Reisner Date,Ptolemaic
3208,Reisner Date,Ptolemaic
3209,Reisner Date,Ptolemaic
3398,Reisner Date,Late Period
3399,Reisner Date,Late Period
3400,Reisner Date,Late Period
3401,Reisner Date,Late Period
3402,Reisner Date,Late Period
3403,Reisner Date,Late Period
3406,Reisner Date,Saite-Ptolemaic
3418,Junker Date,late Old Kingdom
3420,Junker Date,Beginning Dynasty 5
3425,Junker Date,Late Old Kingdom
3447,Junker Date,Late Old Kingdom
3457,PorterMoss Date,Late Old Kingdom
3509,Junker Date,Dynasty 6
3510,Junker Date,Dynasty 6
3670,PorterMoss Date,Late Old Kingdom
3671,PorterMoss Date,Late Old Kingdom
3740,PorterMoss Date,Dynasty 5
3772,PorterMoss Date,Dynasty 5
3774,PorterMoss Date,Dynasty 5
3775,PorterMoss Date,Dynasty 5
3776,PorterMoss Date,Dynasty 5
3816,PorterMoss Date,Dynasty 5-6
4090,PorterMoss Date,Late Old Kingdom
4101,PorterMoss Date,Late Old Kingdom
4115,PorterMoss Date,Old Kingdom
4136,PorterMoss Date,Old Kingdom
4137,PorterMoss Date,Old Kingdom
4138,PorterMoss Date,Old Kingdom
4139,PorterMoss Date,Old Kingdom
4140,PorterMoss Date,Old Kingdom
4141,PorterMoss Date,Old Kingdom
4225,Reisner Date,Dynasty 4
4226,Reisner Date,Dynasty 4
4282,PorterMoss Date,Menkaure
4563,PorterMoss Date,Dynasty 26
4564,PorterMoss Date,Dynasty 26
4565,PorterMoss Date,Dynasty 26
4573,PorterMoss Date,Dynasty 26
4574,PorterMoss Date,Dynasty 26
4575,PorterMoss Date,End of Dyn. 5 or later
4575,Junker Date,Late Dynasty 5
4575,Baer Date,End of Dynasty 5 or later
4629,PorterMoss Date,End of Dynasty 5 or Dynasty 6
4630,PorterMoss Date,Late Dynasty 5
4632,PorterMoss Date,Dynasty 5
5089,Lepsius Date,Saite
5090,Lepsius Date,Saite
5091,Lepsius Date,Saite
5092,Lepsius Date,Saite
5095,PorterMoss Date,Late Dynasty 6
5117,Journal d'Entree Date,Dynasty 6
5120,PorterMoss Date,Dynasty 5 or 6
5120,Hill Date,reign of Niuserre or later
5122,PorterMoss Date,Dynasty 19
5122,Zivie-Coche Date,Late Dynasty 18-Early Dynasty 19
