SiteID,EventType,DateText
1021,PorterMoss Date,Middle or late Dynasty 4
1023,PorterMoss Date,Middle or late Dynasty 4
1024,PorterMoss Date,First Intermediate Period
1024,Junker Date,After Dynasty 6
1024,Baer Date,Dynasty 6 or later
1025,PorterMoss Date,Late Dyn 4 or early Dyn 5
1026,Reisner Date,Late period
1027,PorterMoss Date,Userkaf or later
1028,PorterMoss Date,Middle Dynasty 5 or later
1028,Harpur Date,Niuserre - Unis
1028,Baer Date,Middle of Dynasty 5 or later
1035,Baer Date,Dynasty 6
1035,PorterMoss Date,Dynasty 5-6
1040,PorterMoss Date,Khephren or later
1044,PorterMoss Date,Mid Dyn 4 to early Dyn 5
1046,PorterMoss Date,Dynasty 6 or later
1047,PorterMoss Date,Khufu
1047,Baer Date,Early Dynasty 6 or later
1047,Reisner Date,Late Khufu (Cheops)
1050,PorterMoss Date,Khufu
1051,PorterMoss Date,Dynasty 5
1056,PorterMoss Date,Dynasty 6
1056,Baer Date,Dynasty 6
1063,Kanawati Date,Userkaf
1063,Reisner Date,Userkaf
1063,Baer Date,Later Dynasty 5
1063,PorterMoss Date,Userkaf or late Dynasty 5
1065,PorterMoss Date,Late Dynasty 5
1069,PorterMoss Date,Dynasty 6
1071,PorterMoss Date,Middle or late Dynasty 4
1079,PorterMoss Date,Middle or late Dynasty 4
1080,PorterMoss Date,Dynasty 6
1080,Baer Date,Dynasty 6
1080,Harpur Date,Dynasty 6
1080,Junker Date,Dynasty 6
1080,Kanawati Date,Early Djedkare
1080,idem Date,Most likely Djedkare
1080,Reisner Date,After Neferirkare
1082,Harpur Date,Unis - Teti
1082,Baer Date,End of Dynasty 5 or later
1082,PorterMoss Date,End of Dynasty 5 or later
1088,PorterMoss Date,Dynasty 5
1093,PorterMoss Date,Dynasty 5
1093,Baer Date,End Dynasty 5 or later
1094,PorterMoss Date,Dynasty 5
1097,PorterMoss Date,Middle or late Dynasty 4
1103,PorterMoss Date,Late Dynasty 6
1104,PorterMoss Date,Middle or late Dynasty 4
1105,PorterMoss Date,Early to middle Dynasty 5
1105,Baer Date,Early to middle Dynasty 5
1105,Baud Date,Khafre
1105,Harpur Date,Userkaf - Neferefre
1105,Junker Date,mid Dynasty 5
1105,Kanawati Date,Late Djedkare
1106,PorterMoss Date,Middle or late Dynasty 4
1107,PorterMoss Date,Dynasty 5
1107,Harpur Date,Djedkare - mid Unis
1107,Kanawati Date,End of Dynasty 4
1107,Reisner Date,Dynasty 5-before Neferirkare
1107,Baer Date,Dynasty 5
1109,PorterMoss Date,Probably first half of Dynasty 5
1112,PorterMoss Date,Probably first half of Dynasty 5
1113,PorterMoss Date,Sahure or Neuserre
1115,PorterMoss Date,Probably end of Dynasty 5
1123,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1127,PorterMoss Date,Dynasty 6
1128,Baer Date,Dynasty 4
1128,PorterMoss Date,Menkaure
1131,PorterMoss Date,Late Old Kingdom
1132,PorterMoss Date,End of Dynasty 5 or Dynasty 6
1132,Baer Date,End of Dyn. 5 or somewhat later
1132,Kanawati Date,Late Djedkare
1132,Harpur Date,Niuserre - Teti
1132,Junker Date,Late Dynasty 5 - early Dynasty 6
1137,Baer Date,Dynasty 6
1137,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1138,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1142,PorterMoss Date,Late Dynasty 5
1151,PorterMoss Date,Middle or late Dynasty 4
1155,PorterMoss Date,Middle or late Dynasty 4
1155,Baer Date,Middle to late Dynasty 4
1157,PorterMoss Date,Dynasty 5-6
1158,PorterMoss Date,Early Dynasty 5 or later
1158,Baer Date,Early Dynasty 5 or later
1158,Harpur Date,Userkaf - Neferefre
1158,Jacquet-Gordon Date,First half of Dynasty 5
1158,Junker Date,Beginning of Dynasty 5
1158,Kanawati Date,Late Menkaure
1158,Reisner Date,Probably later than Dynasty 4
1161,Baer Date,Sahure-Neferirkare
1161,Harpur Date,Userkaf - Neferirkare
1161,Jacquet-Gordon Date,Early Dynasty 5
1161,Junker Date,Early Dynasty 5
1161,Kanawati Date,Late Sahure
1161,idem Date,"Dyn 5, probably Sahure-Niuserre"
1161,Reisner Date,Late Menkaure - post-Neferirkare
1161,Strudwick Date,Early Dynasty 5
1161,Baer Date,Dynasty 5
1161,PorterMoss Date,Sahure or Neferirkare
1162,PorterMoss Date,Dynasty 6
1165,Baer Date,Early to mid Dynasty 5
1165,PorterMoss Date,Early or middle Dynasty 5
1165,Baud Date,Khafre
1165,Harpur Date,Userkaf - Sahure
1165,Jacquet-Gordon Date,Slightly post- Niuserre
1165,Junker Date,Slightly after Niuserre
1165,Kanawati Date,Early Dynasty 5
1165,idem Date,Sahure or immediately after
1165,Reisner Date,Late Menkaure - post-Neferirkare
1170,Harpur Date,Djedkare - mid Unis
1170,Junker Date,End of Dynasty 5
1170,Kanawati Date,Djedkare
1170,Reisner Date,Djedkare
1170,Baer Date,End Dynasty 5
1170,PorterMoss Date,Late Dynasty 5
1171,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1171,Harpur Date,Unis - Teti ?
1171,Jacquet-Gordon Date,End Dyn 5 - Begin Dyn 6
1173,PorterMoss Date,Dynasty 26
1175,Porter & Moss Date,Khufu to Shepseskaf
1176,PorterMoss Date,Khufu to Menkaure
1176,Baer Date,End of Dynasty 4 or later
1177,PorterMoss Date,Middle or late Dynasty 4
1192,Reisner Date,Dynasty 5-6
1206,Reisner Date,Dynasty 5-6
1210,Harpur Date,Unis - Teti ?
1210,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1213,PorterMoss Date,Khufu to late Dynasty 4
1222,PorterMoss Date,Dynasty 6
1223,PorterMoss Date,Dynasty 6
1224,PorterMoss Date,Dynasty 5
1225,PorterMoss Date,Dynasty 6
1226,PorterMoss Date,Dynasty 6
1227,PorterMoss Date,Dynasty 6
1228,PorterMoss Date,Dynasty 5-6
1229,PorterMoss Date,End of Dynasty 5 or later
1229,Baer Date,End of Dynasty 5 or later
1229,Harpur Date,Unis - Dynasty 6
1230,PorterMoss Date,Dynasty 6
1231,PorterMoss Date,Dynasty 5 or later
1231,Harpur Date,Unis - Teti
1232,PorterMoss Date,Middle Dynasty 5 or later
1233,PorterMoss Date,Dynasty 6
1234,PorterMoss Date,Dynasty 6
1235,PorterMoss Date,Dynasty 6
1237,PorterMoss Date,Middle Dynasty 5 or later
1238,PorterMoss Date,Late Old Kingdom
1239,PorterMoss Date,Dynasty 5 or later
1240,PorterMoss Date,Late Dynasty 6
1241,PorterMoss Date,Late Old Kingdom
1242,PorterMoss Date,Late Dynasty 6
1243,PorterMoss Date,Dynasty 6
1244,PorterMoss Date,End of Dynasty 5
1244,Baer Date,End of Dynasty 5
1244,Harpur Date,Unis
1244,Kanawati Date,Early Unis
1245,Baer Date,Dynasty 6
1245,Harpur Date,Teti
1245,Kanawati Date,Early Djedkare
1245,PorterMoss Date,Dynasty 6
1246,PorterMoss Date,Middle Dynaty 5 or later
1246,Harpur Date,Niuserre - Unis
1247,PorterMoss Date,Middle Dynasty 5
1248,PorterMoss Date,Dynasty 5-6
1249,PorterMoss Date,Dynasty 6
1250,PorterMoss Date,Dynasty 6
1251,PorterMoss Date,Dynasty 5-6
1252,PorterMoss Date,Late Old  Kingdom
1253,PorterMoss Date,Dynasty 6
1254,PorterMoss Date,Dynasty 5 or later
1255,PorterMoss Date,Dynasty 5-6
1256,PorterMoss Date,Dynasty 5 or later
1257,PorterMoss Date,Dynasty 5
1257,Harpur Date,Niuserre - Unis ?
1258,PorterMoss Date,Middle Dynasty 5 or later
1259,PorterMoss Date,Middle Dynasty 5 or later
1259,Baer Date,Mid Dynasty 5 or later
1259,Harpur Date,Late Djedkare - mid Unis
1259,Jacquet-Gordon Date,Dynasty 6 ?
1260,PorterMoss Date,Dynasty 6
1261,PorterMoss Date,Probably dynasty 5
1262,PorterMoss Date,Dynasty 4-5
1263,PorterMoss Date,Dynasty 5
