SiteID,MediaMasterID,PrimaryDisplay
5,30559,0
5,30518,0
5,30627,0
5,19656,0
5,19911,0
5,19909,0
5,19344,0
5,15849,0
5,21248,0
5,25,0
5,10918,0
5,30555,0
5,30556,0
5,52969,0
5,52566,0
5,67673,0
5,22395,0
5,19932,0
5,20609,1
5,30703,0
5,30560,0
5,31169,0
5,30626,0
5,31,0
5,15372,0
5,22394,0
6,49,1
6,52754,0
6,47181,0
6,40796,0
6,47180,0
6,47182,0
7,92,0
7,50,1
8,63,1
8,18096,0
8,48065,0
8,47206,0
8,47233,0
8,48042,0
8,47200,0
8,47205,0
8,47232,0
8,48007,0
8,48041,0
8,48043,0
8,47201,0
8,47202,0
8,47203,0
8,47204,0
8,47234,0
9,93,0
9,95,1
10,74,1
10,65,0
12,66,0
12,94,1
14,96,0
14,10254,0
14,10256,0
14,10038,0
14,10638,0
14,20332,0
14,26507,0
14,26509,0
14,26516,0
14,27534,0
14,48008,0
14,51250,0
14,51291,0
14,51400,0
14,51402,0
14,97,0
14,26502,0
14,26503,0
14,26504,0
14,26505,0
14,27873,0
14,27874,0
14,27875,0
14,27892,0
14,27956,0
14,27957,0
14,27958,0
14,27959,0
14,51404,0
14,51405,0
14,51257,0
14,52791,0
14,72,1
14,10002,0
14,10249,0
14,10250,0
14,10251,0
14,10252,0
14,10253,0
14,20078,0
14,26511,0
14,26512,0
14,26513,0
14,26514,0
14,51480,0
14,51481,0
14,51247,0
14,51248,0
14,10255,0
14,10257,0
14,20333,0
14,26506,0
14,26508,0
14,26510,0
14,26515,0
14,27955,0
14,48009,0
14,51249,0
14,51258,0
14,51342,0
14,51401,0
14,51403,0
15,48009,0
15,47932,0
15,47934,0
15,46421,0
15,46423,0
15,46437,0
15,46439,0
15,46444,0
15,29,0
15,47186,0
15,47187,0
15,47103,0
15,47104,0
15,47653,0
15,46435,0
15,20412,0
15,48045,0
15,48011,0
15,48012,0
15,47931,0
15,48063,0
15,48064,0
15,46440,0
15,46441,0
15,46442,0
15,46443,0
15,47177,0
15,47178,0
15,64,0
15,48008,0
15,48010,0
15,47933,0
15,48044,0
15,48101,0
15,47188,0
15,46422,0
15,46436,0
15,46438,0
16,44,0
16,97,1
