ID,UnpublishedID,ObjectNumber,UnpublishedTitle,ClassificationID,ObjectDate,ThumbPathName,ThumbFileName,ArchIDNum
5840,40234,HUMFA_24-11-694,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 09: Service Equipment of the Chapel: Statues, Offering Basins and Vessels, Page 017",98,11/20/1924,https://nrs.harvard.edu,urn-3:FHCL:39686535?width=170&height=170,465950795
5840,41481,HUMFA_24-11-694,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 09: Service Equipment of the Chapel: Statues, Offering Basins and Vessels, Page 017 (alternate version)",98,11/20/1924,https://nrs.harvard.edu,urn-3:FHCL:39687279?width=170&height=170,465951335
5841,40075,HUMFA_24-11-97,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519 (alternate version)",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39688569?width=170&height=170,465954335
5841,40110,HUMFA_24-11-97,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39687558?width=170&height=170,465953822
5842,40473,HUMFA_24-11-98,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531 (alternate version)",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39688640?width=170&height=170,465954371
5842,40729,HUMFA_24-11-98,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39687629?width=170&height=170,465953858
5843,40112,HUMFA_24-11-99,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 521",89,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39687570?width=170&height=170,465953828
5843,40663,HUMFA_24-11-99,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 521 (alternate version)",89,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39688580?width=170&height=170,465954341
5844,40071,HUMFA_24-11-100,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 515 (alternate version)",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39688545?width=170&height=170,465954323
5844,40106,HUMFA_24-11-100,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 515",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39687534?width=170&height=170,465953810
5845,40075,HUMFA_24-11-101,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519 (alternate version)",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39688569?width=170&height=170,465954335
5845,40110,HUMFA_24-11-101,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39687558?width=170&height=170,465953822
5846,40468,HUMFA_24-11-102,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526 (alternate version)",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39688610?width=170&height=170,465954356
5846,40724,HUMFA_24-11-102,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526",38,11/04/1924,https://nrs.harvard.edu,urn-3:FHCL:39687599?width=170&height=170,465953843
5948,40075,HUMFA_24-11-732,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519 (alternate version)",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39688569?width=170&height=170,465954335
5948,40110,HUMFA_24-11-732,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39687558?width=170&height=170,465953822
